id,Country_ID_id,Language_ID_id
1,1,4
2,2,18
3,3,22
4,4,2
5,5,5
6,6,56
7,7,64
8,8,29
9,9,22
10,10,6
11,11,9
12,12,22
13,13,7
14,14,20
15,15,26
16,16,10
17,17,42
18,18,26
19,19,49
20,20,64
21,21,56
22,22,22
23,23,21
24,24,22
25,25,8
26,26,22
27,27,22
28,28,26
29,29,26
30,30,26
31,31,29
32,32,26
33,33,64
34,34,26
35,35,13
36,36,64
37,37,64
38,38,64
39,39,56
40,40,30
41,41,16
42,42,29
43,43,26
44,44,17
45,45,22
46,46,64
47,47,4
48,48,64
49,49,23
50,50,4
51,51,1
52,52,12
53,53,3
54,54,25
55,55,22
56,56,22
57,57,26
58,58,26
59,59,22
60,60,22
61,61,28
62,62,26
63,63,22
64,64,31
65,65,22
66,66,26
67,67,64
68,68,30
69,69,64
70,70,56
71,71,22
72,72,27
73,73,14
74,74,26
75,75,34
76,76,36
77,77,22
78,78,32
79,79,33
80,80,4
81,81,54
82,82,35
83,83,37
84,84,22
85,85,4
86,86,38
87,87,22
88,88,58
89,89,40
90,90,26
91,91,22
92,92,43
93,93,43
94,94,4
95,95,39
96,96,44
97,97,4
98,98,22
99,99,22
100,100,22
101,101,22
102,102,46
103,103,45
104,104,4
105,105,4
106,106,57
107,107,48
108,108,47
109,109,26
110,110,11
111,111,51
112,112,4
113,113,50
114,114,15
115,115,19
116,116,22
117,117,64
118,118,49
119,119,56
120,120,22
121,121,26
122,122,26
123,123,22
124,124,64
125,125,20
126,126,53
127,127,52
128,128,22
129,129,4
130,130,64
131,131,64
132,132,26
133,133,22
134,134,24
135,135,73
136,136,55
137,137,56
138,138,64
139,139,4
140,140,26
141,141,57
142,142,59
143,143,58
144,144,41
145,145,4
146,146,22
147,147,60
148,148,4
149,149,67
150,150,62
151,151,61
152,152,22
153,153,26
154,154,63
155,155,63
156,156,56
157,157,64
158,158,4
159,159,66
160,160,26
161,161,26
162,162,69
163,163,68
164,164,36
165,165,71
166,166,4
167,167,70
168,168,22
169,169,13
170,170,65
171,171,72
172,172,65
173,173,22
174,174,64
175,175,74
176,176,64
177,177,75
178,178,22
179,179,4
180,180,76
181,181,22
182,182,22
