Language_ID,Language
1,Afar
2,Albanian
3,Amharic
4,Arabic
5,Armenian
6,Azerbaijani Turkic
7,Bangla
8,Belorussian
9,Bosnian
10,Bulgarian
11,Burmese language
12,Castilian Spanish
13,Chinese
14,Croatian
15,Croele
16,Czech
17,Danish
18,Dari
19,Dhivehi
20,Dutch
21,Dzongkha
22,English
23,Estonian
24,Filipino
25,Finnish
26,French
27,Garifuna
28,Georgian
29,German
30,Greek
31,Greenlandic
32,Hebrew
33,Hindi
34,Hungarian
35,Icelandic
36,Indonesian
37,Italian
38,Japanese
39,Kazakh
40,Khmer
41,Kinyarwanda
42,Kirundi
43,Korean language
44,Lao language
45,Latvian
46,Lithuanian
47,Macedonian language
48,Malagasy language
49,Malay
50,Maltese
51,Mongolian language
52,Nepali
53,Norwegian
54,Persian
55,Polish
56,Portuguese
57,Romanian
58,Russian
59,Serbian
60,Seychellois Creole
61,Slovak
62,Slovene
63,Somali
64,Spanish
65,Swahili
66,Swazi
67,Swedish
68,Tajiki
69,Thai
70,Turkish
71,Turkmen
72,Ukrainian
73,Urdu
74,Uzbek
75,Vietnamese
76,Zulu
